match_title,open_date,sales_amount,sales_share,audience_count,screen_count,kobis_search_year,kobis_rank,kobis_movie_code,kobis_movie_type,tmdb_rank,tmdb_original_title,tmdb_release_date,tmdb_release_year,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_genre_ids,tmdb_genres,tmdb_runtime,tmdb_tagline,tmdb_budget,tmdb_revenue,tmdb_production_companies,tmdb_cast,tmdb_directors,tmdb_keywords,tmdb_poster_url
태극기 휘날리며,2004-02-05,0,0.0,11746135,110,2004,1,20030371,전체,147,태극기 휘날리며,2004-02-05,2004,3.7193,7.998,767,28|12|18|36|10752,액션|모험|드라마|역사|전쟁,148,우린 반드시 살아서 돌아가야 해,1500000,0,Kang Je-gyu Films|KD Media|Seoul Broadcasting System|Tooniverse|Destination Films|Samuel Goldwyn Films|Showbox,장동건(Lee Jin-tae)|원빈(Lee Jin-seok)|이은주(Kim Young-shin)|공형진(Yong-man)|이영란(Mother)|장민호(Old Lee Jin-seok)|조윤희(Jin-seok's Grandaughter)|안길강(Sergeant Huh)|박길수(Excavation Team Leader)|정진(Pfc. Im),강제규,brotherhood|korean war (1950-53)|archaeologist|air raid|pyre|brother brother relationship|korean army|south korea|inter-korean relations,https://image.tmdb.org/t/p/original/rcBc6lI7Ouj1kb0bbbX0CkuJe9q.jpg
실미도,2003-12-24,0,0.0,8801840,,2004,2,20030410,전체,367,실미도,2003-12-24,2003,1.8503,7.118,131,28|18,액션|드라마,135,"이름도 없었다, 존재도 없었다, 살려둘 이유도 없었다",8000000,0,Hanmac Films|Cinema Service,설경구(Kang In-chan)|안성기(Jae-hyun)|허준호(Sergeant Jo)|정재영(Sang-pil)|임원희(Won-hee)|강신일(Geun-jae)|강성진(Chan-seok)|이정헌(Sergeant Park)|엄태웅(Won-sang)|Lee Jong-mun(Jeong-hun),강우석,prison|island|spy|incheon|korean army|inter-korean relations,https://image.tmdb.org/t/p/original/xKGjBFfzoip0fTT7JNjF9bd6Dru.jpg
어린 신부,2004-04-02,0,0.0,3149500,50,2004,3,20040481,전체,511,어린 신부,2004-04-02,2004,1.5369,7.119,105,10749|35,로맨스|코미디,115,"밤마다 아슬아슬~ 한 이불 두 생각  빨리, 자자아~ 결혼만 하면 할 줄 알았다?  밥 못해도 좋다 섹시하게만 자라다오!",0,0,Korea Pictures,문근영(Seo Bo-eun)|김래원(Park Sang-min)|김보경(Ji-su)|안선영(Teacher Kim)|김인문(Bo-eun's Grandfather)|송기윤(Bo-eun's Father)|한진희(Sang-min's Father)|선우은숙(Bo-eun's Mother)|김혜옥(Sang-min's Mother)|박진우(Jeong-woo),Kim Ho-joon,high school|arranged marriage|marriage|older man younger woman relationship|childhood friends|forced marriage|family pressure,https://image.tmdb.org/t/p/original/hUgPWAyJ3GOoIVctVJJ6yqyaIpW.jpg
말죽거리 잔혹사,2004-01-16,0,0.0,3115767,67,2004,4,20030433,전체,456,말죽거리 잔혹사,2004-01-15,2004,1.7906,7.3,91,10749|18|28,로맨스|드라마|액션,116,,0,0,CJ Entertainment|Sidus,권상우(Hyeon-su)|이정진(Woo-shik)|한가인(Eun-ju)|이종혁(Cha Jong-hoon)|박효준(Ham Jae-bok)|서동원(Seong-hun)|김동영(Young Hyeon-su)|조진웅(Yasaengma Gang Member)|Lee Gyu-ho(Yasaengma Gang Leader)|김인권(Jiksae),유하,"1970s|nunchaku|boys' school|seoul, south korea",https://image.tmdb.org/t/p/original/9h0Pos3Ydu1TkO9vtFOs45osdLB.jpg
내 머리 속의 지우개,2004-11-05,0,0.0,2565078,68,2004,6,20040673,전체,410,내 머리 속의 지우개,2004-11-05,2004,1.9097,7.78,366,18|10749,드라마|로맨스,117,사랑했던 기억만은 지워지지 않기를,4200000,0,CJ Entertainment|Sidus,정우성(Choi Chul-soo)|손예진(Kim Su-jin)|백종학(Seo Yeong-min)|이선진(Jung An-na)|박상규(Mr. Kim)|Kim Hee-ryung(Mother)|Seon Ji-hyun(Jeong-eun)|김부선(Madame Oh)|장인한(Supervisor)|권병길(Doctor Lee),이재한,alzheimer's disease|love tested,https://image.tmdb.org/t/p/original/jYnWHteL9i4OFMaKjujGV3D4F3g.jpg
우리 형,2004-10-08,0,0.0,2479585,77,2004,7,20040628,전체,871,우리 형,2004-10-08,2004,1.069,7.043,35,18,드라마,112,"12살엔 웬수였고, 20살엔 나의 전부가 된... (우리 형)",0,0,Jininsa Films,원빈(Kim Jong-hyeon)|신하균(Kim Seong-hyeon)|김해숙(Mother)|이보영(Mi-ryeong)|정호빈(Young-joon)|조진웅(Doo-shik)|김종만(Danchu-gumung)|김광규(Mi-ryeong's Brother)|고인범(Eok-soo's Father)|김진혁(Literary Club Senior),Ahn Kwon-tae,gangster|1970s|family|brother brother relationship,https://image.tmdb.org/t/p/original/6iX1nfAYCLd4ntl7nBmZXWOp8rp.jpg
바람의 파이터,2004-08-12,0,0.0,2346446,41,2004,8,20040596,전체,529,바람의 파이터,2004-08-12,2004,1.6109,7.1,176,28|18,액션|드라마,120,한국인으로 태어나 조센징으로 살았던 파이터로 기억될 이름,6000000,0,Chungeorahm Film|iVision Entertainment,양동근(Choi Bae-dal)|平山あや(Yoko)|가토 마사야(Kato)|정두홍(Beom-soo)|国分佐智子|Fuuma Kosaka|정태우(Chun-bae)|염혜란(Aunt)|김민수(Port Yakuza)|Seong-hwan Koo(Circus Clown),양윤호,japanese occupation of korea|zainichi,https://image.tmdb.org/t/p/original/4cKV7IW1tiJ33Z14o5NDIDsTW5h.jpg
내 여자친구를 소개합니다,2004-06-03,0,0.0,2199359,75,2004,9,20040568,전체,741,내 여자친구를 소개합니다,2004-06-03,2004,1.5809,7.136,154,35|10749|18,코미디|로맨스|드라마,123,"사랑을 믿는 당신에게만 (내 여자친구를 소개합니다) | 바람이라도 좋아, 널 느낄 수 있다면... | 미안해. 사랑해. 그리고 기억해...",0,25000000,iFilm|iLoveCinema|CJ Entertainment|Edko Films,전지현(Yeo Kyung-jin)|장혁(Ko Myung-woo)|김정태(Kim Yeong-ho)|김수로(Hostage Taker 1 / Proposer)|이기우(Prince)|김창완(Chief of Police Substation)|정호빈(Shin Chang-soo)|임예진(Policewoman of Police Substation)|Jeong Dae-hoon(Runaway Boy #1)|Jeon Jae-hyeong(Runaway Boy #2),곽재용,love of one's life|handcuffs|police officer|handcuffed|female police officer|friendly fire,https://image.tmdb.org/t/p/original/hhfLf4pf6xtmbG2GrDmZ5evPUKE.jpg
범죄의 재구성,2004-04-15,0,0.0,2129358,50,2004,11,20040487,전체,616,범죄의 재구성,2004-04-15,2004,1.1644,6.839,31,35|80|28,코미디|범죄|액션,116,사기는 테크닉이 아니라 심리전이다,0,0,Sidus|Showbox,박신양(Choi Chang-hyuk)|백윤식(Master Kim)|염정아(Seo In-kyung)|이문식(Big Mouth)|천호진(Squad Leader Cha)|박원상(Swallow)|김상호(Gasoline)|손지나(Jo Kyung-ran)|김윤석(Detective Lee)|손병욱(Detective Kim),최동훈,bank heist,https://image.tmdb.org/t/p/original/EO7XXbPhCFQ8ndCraIQj80hajY.jpg
시실리 2km,2004-08-13,0,0.0,1987380,36,2004,13,20040617,전체,590,시실리 2km,2004-08-13,2004,1.5621,7.161,31,35|27,코미디|공포,109,"시간이 멈추어버린 그 곳, 시실리(時失里)에는 누가 살고 있길래...",0,0,Hanmaek Movies|Showbox,임창정(Yang-yi)|권오중(Seok-tae)|신이(Ghost)|임은경(Song-yi)|변희봉(Old Man Byun)|박명신(Dae-soon)|우현(Hae-ju)|안내상(Mutt / Mad Dog)|김윤석(Hak-gyu)|이상훈(Choon-sik),신정원,criminal|ghost|local farmers,https://image.tmdb.org/t/p/original/djl6k3QkipbNyNPHKZiIx7VOqMr.jpg
