match_title,open_date,tmdb_release_date,tmdb_genres,tmdb_poster_url,audience_count,target_log_audience,success_rank,success_rank_code,is_success_1000000,is_success_3000000,is_success_5000000,is_success_10000000,meta_tmdb_release_year,meta_tmdb_runtime,meta_tmdb_budget,meta_log_tmdb_budget,meta_open_year,meta_open_month,meta_open_quarter,meta_is_summer_peak,meta_is_winter_peak,meta_is_year_end,open_season,meta_season_spring,meta_season_summer,meta_season_fall,meta_season_winter,genre_SF,genre_가족,genre_공포,genre_다큐멘터리,genre_드라마,genre_로맨스,genre_모험,genre_미스터리,genre_범죄,genre_서부,genre_스릴러,genre_애니메이션,genre_액션,genre_역사,genre_음악,genre_전쟁,genre_코미디,genre_판타지,meta_genre_count,meta_director_count,meta_director_max_frequency,meta_director_mean_frequency,meta_cast_count,meta_cast_max_frequency,meta_cast_mean_frequency,meta_production_company_count,meta_production_company_max_frequency,meta_production_company_mean_frequency,meta_top_director_이준익,meta_top_director_민규동,meta_top_director_김용화,meta_top_director_류승완,meta_top_director_최동훈,meta_top_director_허진호,meta_top_director_유하,meta_top_director_곽경택,meta_top_director_김지운,meta_top_director_김지훈,meta_top_director_김홍선,meta_top_director_박찬욱,meta_top_director_박훈정,meta_top_director_우민호,meta_top_director_김성수,meta_top_director_김성훈,meta_top_director_김한민,meta_top_director_박진표,meta_top_director_봉준호,meta_top_director_양우석,meta_top_director_원신연,meta_top_director_윤제균,meta_top_director_이한,meta_top_director_정범식,meta_top_director_강우석,meta_top_director_김병우,meta_top_director_김태균,meta_top_director_나홍진,meta_top_director_박희곤,meta_top_director_연상호,meta_top_cast_황정민,meta_top_cast_오달수,meta_top_cast_마동석,meta_top_cast_정만식,meta_top_cast_이성민,meta_top_cast_유해진,meta_top_cast_조진웅,meta_top_cast_하정우,meta_top_cast_장영남,meta_top_cast_라미란,meta_top_cast_이경영,meta_top_cast_김의성,meta_top_cast_설경구,meta_top_cast_윤제문,meta_top_cast_이준혁,meta_top_cast_조우진,meta_top_cast_정우성,meta_top_cast_고창석,meta_top_cast_김민재,meta_top_cast_김윤석,meta_top_cast_류승룡,meta_top_cast_박성웅,meta_top_cast_송강호,meta_top_cast_유승목,meta_top_cast_강동원,meta_top_cast_김종수,meta_top_cast_송영창,meta_top_cast_주진모,meta_top_cast_배성우,meta_top_cast_성동일,meta_top_cast_곽도원,meta_top_cast_박정민,meta_top_cast_박희순,meta_top_cast_신정근,meta_top_cast_이병헌,meta_top_cast_이선균,meta_top_cast_김상호,meta_top_cast_정인기,meta_top_cast_김성균,meta_top_cast_김희원,meta_top_cast_이한위,meta_top_cast_이희준,meta_top_cast_정진영,meta_top_cast_조한철,meta_top_cast_권해효,meta_top_cast_김원해,meta_top_cast_김홍파,meta_top_cast_류준열,meta_top_cast_박해준,meta_top_cast_염혜란,title_length,title_length_no_space,title_word_count,title_has_digit,title_has_english,title_has_special_char,title_has_series_keyword,title_keyword_love,title_keyword_war,title_keyword_crime,title_keyword_horror,title_keyword_family,title_keyword_comedy,title_keyword_action,title_keyword_fantasy,title_keyword_youth,title_has_emotion_genre_keyword,poster_available,poster_width,poster_height,poster_aspect_ratio,poster_brightness_mean,poster_saturation_mean,poster_red_mean,poster_green_mean,poster_blue_mean,poster_contrast,poster_edge_density
태극기 휘날리며,2004-02-05,2004-02-05,액션|모험|드라마|역사|전쟁,https://image.tmdb.org/t/p/original/rcBc6lI7Ouj1kb0bbbX0CkuJe9q.jpg,11746135,16.279034893407243,S,4,True,True,True,True,2004,148,1500000,14.220976332738882,2004,2,1,0,0,0,winter,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,5,1,3,3.0,10,11,4.1,7,78,12.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1500,0.6666666666666666,0.434059590101242,0.1200140193104744,0.4173891246318817,0.4390135705471039,0.4522744119167328,0.2518048882484436,0.0119025854879065
실미도,2003-12-24,2003-12-24,액션|드라마,https://image.tmdb.org/t/p/original/xKGjBFfzoip0fTT7JNjF9bd6Dru.jpg,8801840,15.99047146211367,A,3,True,True,True,False,2003,135,8000000,15.894952224644102,2003,12,4,0,1,1,winter,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4,4.0,10,26,10.2,2,19,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1500,0.6666666666666666,0.4366099536418915,0.1545867770910263,0.4684974253177643,0.4252866804599762,0.4112805724143982,0.2843821346759796,0.0160116763969974
어린 신부,2004-04-02,2004-04-02,로맨스|코미디,https://image.tmdb.org/t/p/original/hUgPWAyJ3GOoIVctVJJ6yqyaIpW.jpg,3149500,14.962754585554787,B,2,True,True,False,False,2004,115,0,0.0,2004,4,2,0,0,0,spring,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.0,10,8,3.4,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,900,1283,0.7014809041309431,0.6384655237197876,0.2464387416839599,0.6969724893569946,0.6119698286056519,0.6214429140090942,0.296046644449234,0.0385095983602756
말죽거리 잔혹사,2004-01-16,2004-01-15,로맨스|드라마|액션,https://image.tmdb.org/t/p/original/9h0Pos3Ydu1TkO9vtFOs45osdLB.jpg,3115767,14.951986228772153,B,2,True,True,False,False,2004,116,0,0.0,2004,1,1,0,1,0,winter,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,7,7.0,10,31,7.8,2,155,88.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,900,1289,0.6982156710628394,0.2461052387952804,0.2563501596450805,0.2633373737335205,0.2402504831552505,0.2310555726289749,0.3329093158245086,0.035206907991377
내 머리 속의 지우개,2004-11-05,2004-11-05,드라마|로맨스,https://image.tmdb.org/t/p/original/jYnWHteL9i4OFMaKjujGV3D4F3g.jpg,2565078,14.757499835332993,C,1,True,False,False,False,2004,117,4200000,15.250595321348806,2004,11,4,0,0,0,fall,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2.0,10,25,5.3,2,155,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,1800,0.6666666666666666,0.3302609920501709,0.3529770970344543,0.3885863721370697,0.3122653365135193,0.2699466049671173,0.2679417729377746,0.0369332870048644
우리 형,2004-10-08,2004-10-08,드라마,https://image.tmdb.org/t/p/original/6iX1nfAYCLd4ntl7nBmZXWOp8rp.jpg,2479585,14.723602168722016,C,1,True,False,False,False,2004,112,0,0.0,2004,10,4,0,0,0,fall,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2.0,10,31,8.5,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,800,1200,0.6666666666666666,0.4133658111095428,0.2735347747802734,0.4591004252433777,0.3972225785255432,0.3765362501144409,0.3117271363735199,0.0905740354535975
바람의 파이터,2004-08-12,2004-08-12,액션|드라마,https://image.tmdb.org/t/p/original/4cKV7IW1tiJ33Z14o5NDIDsTW5h.jpg,2346446,14.668412827130071,C,1,True,False,False,False,2004,120,6000000,15.607270193858982,2004,8,3,1,0,0,summer,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2.0,10,16,2.9,2,7,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1500,0.6666666666666666,0.2570021450519562,0.2114495486021042,0.2825534045696258,0.2483851909637451,0.2343559116125106,0.3459398448467254,0.0140720600500417
내 여자친구를 소개합니다,2004-06-03,2004-06-03,코미디|로맨스|드라마,https://image.tmdb.org/t/p/original/hhfLf4pf6xtmbG2GrDmZ5evPUKE.jpg,2199359,14.603676966915378,C,1,True,False,False,False,2004,123,0,0.0,2004,6,2,0,0,0,summer,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,3.0,10,13,4.9,4,155,42.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,896,1280,0.7,0.252907246351242,0.1966250240802765,0.2632561326026916,0.2508589327335357,0.2363106608390808,0.3357275128364563,0.0407608885382338
범죄의 재구성,2004-04-15,2004-04-15,코미디|범죄|액션,https://image.tmdb.org/t/p/original/EO7XXbPhCFQ8ndCraIQj80hajY.jpg,2129358,14.571331553427253,C,1,True,False,False,False,2004,116,0,0.0,2004,4,2,0,0,0,spring,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,1,8,8.0,10,24,10.4,2,78,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,900,1285,0.7003891050583657,0.1479873359203338,0.5333811640739441,0.1365526914596557,0.1492204815149307,0.1716286540031433,0.1936977654695511,0.0354995964627198
시실리 2km,2004-08-13,2004-08-13,코미디|공포,https://image.tmdb.org/t/p/original/djl6k3QkipbNyNPHKZiIx7VOqMr.jpg,1987380,14.502328249504256,C,1,True,False,False,False,2004,109,0,0.0,2004,8,3,1,0,0,summer,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3.0,10,24,6.4,2,78,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,860,1290,0.6666666666666666,0.2898886799812317,0.4702231884002685,0.3277746438980102,0.2803680002689361,0.2395440638065338,0.3105879426002502,0.0320921209933909
