match_title,poster_available,poster_feature_status,poster_width,poster_height,poster_aspect_ratio,poster_brightness_mean,poster_saturation_mean,poster_red_mean,poster_green_mean,poster_blue_mean,poster_contrast,poster_edge_density
태극기 휘날리며,1,ok,1000,1500,0.6666666666666666,0.43405959010124207,0.1200140193104744,0.4173891246318817,0.4390135705471039,0.4522744119167328,0.2518048882484436,0.011902585487906589
실미도,1,ok,1000,1500,0.6666666666666666,0.4366099536418915,0.1545867770910263,0.4684974253177643,0.4252866804599762,0.4112805724143982,0.2843821346759796,0.016011676396997496
어린 신부,1,ok,900,1283,0.7014809041309431,0.6384655237197876,0.24643874168395996,0.6969724893569946,0.6119698286056519,0.6214429140090942,0.296046644449234,0.03850959836027561
말죽거리 잔혹사,1,ok,900,1289,0.6982156710628394,0.24610523879528046,0.25635015964508057,0.2633373737335205,0.24025048315525055,0.23105557262897491,0.33290931582450867,0.03520690799137709
내 머리 속의 지우개,1,ok,1200,1800,0.6666666666666666,0.3302609920501709,0.35297709703445435,0.3885863721370697,0.3122653365135193,0.2699466049671173,0.26794177293777466,0.036933287004864486
우리 형,1,ok,800,1200,0.6666666666666666,0.41336581110954285,0.27353477478027344,0.4591004252433777,0.3972225785255432,0.3765362501144409,0.3117271363735199,0.0905740354535975
바람의 파이터,1,ok,1000,1500,0.6666666666666666,0.2570021450519562,0.2114495486021042,0.28255340456962585,0.24838519096374512,0.23435591161251068,0.34593984484672546,0.0140720600500417
내 여자친구를 소개합니다,1,ok,896,1280,0.7,0.25290724635124207,0.1966250240802765,0.26325613260269165,0.25085893273353577,0.2363106608390808,0.3357275128364563,0.040760888538233814
범죄의 재구성,1,ok,900,1285,0.7003891050583657,0.14798733592033386,0.5333811640739441,0.13655269145965576,0.14922048151493073,0.1716286540031433,0.1936977654695511,0.035499596462719864
시실리 2km,1,ok,860,1290,0.6666666666666666,0.2898886799812317,0.47022318840026855,0.32777464389801025,0.28036800026893616,0.2395440638065338,0.31058794260025024,0.03209212099339093
효자동 이발사,1,ok,861,1283,0.6710833982852689,0.3515583872795105,0.2840547561645508,0.3886277675628662,0.34298521280288696,0.2984769344329834,0.2621205747127533,0.03922467653324465
알포인트,1,ok,595,848,0.7016509433962265,0.2776036858558655,0.40346503257751465,0.3274419605731964,0.2651773989200592,0.21087218821048737,0.24338418245315552,0.04374814548709557
주홍글씨,1,ok,600,900,0.6666666666666666,0.30059054493904114,0.2915804088115692,0.2957043945789337,0.3004639446735382,0.31405770778656006,0.25798919796943665,0.06838108484005563
그녀를 믿지 마세요,1,ok,1000,1434,0.697350069735007,0.43121495842933655,0.4415554106235504,0.5074660778045654,0.4040614664554596,0.37103965878486633,0.34086665511131287,0.05660940979897165
여선생 VS 여제자,1,ok,600,900,0.6666666666666666,0.5640965700149536,0.48512884974479675,0.6034133434295654,0.5532006621360779,0.517081081867218,0.19147604703903198,0.06836439499304589
아는 여자,1,ok,2000,3000,0.6666666666666666,0.5546101331710815,0.2631773054599762,0.6026189923286438,0.5369606018066406,0.5195713043212891,0.27369022369384766,0.0037830762817840768
인형사,1,ok,765,1140,0.6710526315789473,0.36040014028549194,0.2635906934738159,0.4011640250682831,0.3466523289680481,0.32427358627319336,0.3165912926197052,0.06757179467311793
여자는 남자의 미래다,1,ok,900,1285,0.7003891050583657,0.47349464893341064,0.3530208170413971,0.43999433517456055,0.4863668382167816,0.4950788915157318,0.2985278367996216,0.044573018610317136
웰컴 투 동막골,1,ok,1000,1433,0.6978367062107467,0.41764527559280396,0.3940022587776184,0.45621633529663086,0.4177987575531006,0.31569045782089233,0.31593361496925354,0.034728015792890476
친절한 금자씨,1,ok,1179,1768,0.6668552036199095,0.779777467250824,0.1199905276298523,0.7906462550163269,0.7824799418449402,0.7373553514480591,0.26808977127075195,0.0735725445793648
