experiment,model,target,n_rows,n_train,n_test,n_features,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,true_negative,false_positive,false_negative,true_positive
metadata,logistic_regression,is_success_3000000,654,523,131,122,0.7251908396946565,0.6486823361823362,0.3783783783783784,0.5185185185185185,0.4375,0.6200402530189764,0.6486823361823362,0.6278409090909092,0.7620857823878775,0.7251908396946565,0.7397206800832755,0.6862535612535612,81,23,13,14
metadata,decision_tree,is_success_3000000,654,523,131,122,0.6793893129770993,0.6198361823361823,0.32558139534883723,0.5185185185185185,0.4,0.5889270613107822,0.6198361823361823,0.590625,0.7437180252731469,0.6793893129770993,0.7026717557251908,0.635505698005698,75,29,13,14
metadata,random_forest,is_success_3000000,654,523,131,122,0.8320610687022901,0.6885683760683761,0.631578947368421,0.4444444444444444,0.5217391304347826,0.7488251879699248,0.6885683760683761,0.7099436392914653,0.8177409171784423,0.8320610687022901,0.8205676635812712,0.8165954415954416,97,7,15,12
metadata,dnn_mlp,is_success_3000000,654,523,131,122,0.7557251908396947,0.5308048433048433,0.3076923076923077,0.14814814814814814,0.2,0.5563885267275097,0.5308048433048433,0.527927927927928,0.7025687470764453,0.7557251908396947,0.7206794580840382,0.6834045584045584,95,9,23,4
metadata_title,logistic_regression,is_success_3000000,654,523,131,139,0.7251908396946565,0.6623931623931625,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.6270903010033445,0.6623931623931625,0.6354359925788498,0.769613725139779,0.7251908396946565,0.7417609653160361,0.6766381766381766,80,24,12,15
metadata_title,decision_tree,is_success_3000000,654,523,131,139,0.6870229007633588,0.6246438746438746,0.3333333333333333,0.5185185185185185,0.4057971014492754,0.5936329588014981,0.6246438746438746,0.5966809341443269,0.7466335020156102,0.6870229007633588,0.7088798281711892,0.6420940170940171,76,28,13,14
metadata_title,random_forest,is_success_3000000,654,523,131,139,0.8244274809160306,0.6837606837606838,0.6,0.4444444444444444,0.5106382978723404,0.7324324324324325,0.6837606837606838,0.7018307768431469,0.8102743965339386,0.8244274809160306,0.814211088909957,0.8187321937321936,96,8,15,12
metadata_title,dnn_mlp,is_success_3000000,654,523,131,139,0.7709923664122137,0.5404202279202279,0.36363636363636365,0.14814814814814814,0.21052631578947367,0.5859848484848484,0.5404202279202279,0.5382988721804511,0.716678232708767,0.7709923664122137,0.730959077082018,0.5765669515669516,97,7,23,4
metadata_poster,logistic_regression,is_success_3000000,654,523,131,133,0.7480916030534351,0.6768162393162394,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.6451754385964913,0.6768162393162394,0.6551806652309164,0.7794897549216553,0.7480916030534351,0.7603886389417096,0.6876780626780626,83,21,12,15
metadata_poster,decision_tree,is_success_3000000,654,523,131,133,0.6946564885496184,0.6842948717948718,0.3673469387755102,0.6666666666666666,0.47368421052631576,0.6287954206072673,0.6842948717948718,0.6293152235427277,0.7824712458060864,0.6946564885496184,0.7207929945523744,0.7227564102564104,73,31,9,18
metadata_poster,random_forest,is_success_3000000,654,523,131,133,0.8091603053435115,0.6330128205128205,0.5625,0.3333333333333333,0.4186046511627907,0.7029891304347826,0.6330128205128205,0.652224700010619,0.7855667109193495,0.8091603053435115,0.7895433546769,0.8009259259259259,97,7,18,9
metadata_poster,dnn_mlp,is_success_3000000,654,523,131,133,0.7709923664122137,0.5267094017094017,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.5683060109289617,0.5267094017094017,0.5169616519174042,0.7064197221874609,0.7709923664122137,0.7228602310342498,0.6189458689458689,98,6,24,3
all,logistic_regression,is_success_3000000,654,523,131,150,0.7404580152671756,0.6720085470085471,0.40540540540540543,0.5555555555555556,0.46875,0.6388729154686602,0.6720085470085471,0.6485164141414141,0.7761019099333214,0.7404580152671756,0.7541806423008713,0.6976495726495727,82,22,12,15
all,decision_tree,is_success_3000000,654,523,131,150,0.7175572519083969,0.6987179487179487,0.391304347826087,0.6666666666666666,0.4931506849315068,0.6427109974424553,0.6987179487179487,0.6486917445821555,0.7904843716444427,0.7175572519083969,0.740116642239407,0.732905982905983,76,28,9,18
all,random_forest,is_success_3000000,654,523,131,150,0.8091603053435115,0.6330128205128205,0.5625,0.3333333333333333,0.4186046511627907,0.7029891304347826,0.6330128205128205,0.652224700010619,0.7855667109193495,0.8091603053435115,0.7895433546769,0.7995014245014246,97,7,18,9
all,dnn_mlp,is_success_3000000,654,523,131,150,0.7633587786259542,0.5356125356125356,0.3333333333333333,0.14814814814814814,0.20512820512820512,0.5700280112044818,0.5356125356125356,0.5330573761067035,0.7091538905638591,0.7633587786259542,0.725809636910859,0.6606125356125356,96,8,23,4
