feature,importance
meta_production_company_mean_frequency,0.09591277805814694
meta_cast_mean_frequency,0.0958873332562393
meta_tmdb_release_year,0.08923673413108987
meta_open_year,0.08694586015269043
meta_tmdb_runtime,0.08381801863130393
meta_production_company_max_frequency,0.06209251493267671
meta_cast_max_frequency,0.0391750477284479
poster_edge_density,0.03366352639623129
poster_saturation_mean,0.030801199849831363
poster_contrast,0.030429959161090803
meta_tmdb_budget,0.028005435396168846
meta_log_tmdb_budget,0.025213024814390594
poster_height,0.024125891902724135
meta_director_mean_frequency,0.0206016754887093
poster_red_mean,0.020488738756635098
meta_open_month,0.017317211539786534
poster_blue_mean,0.016889825156526688
poster_width,0.0166453508752639
poster_aspect_ratio,0.011908370840717728
meta_director_max_frequency,0.0117669093496241
genre_액션,0.011764152732571696
meta_production_company_count,0.010920599978476954
poster_green_mean,0.01038011963693736
genre_역사,0.009356681478430242
poster_brightness_mean,0.00930193518345638
meta_is_summer_peak,0.009039491920933257
title_length,0.007644983212993418
meta_cast_count,0.00699036120157577
genre_드라마,0.005914861134879256
meta_genre_count,0.005400117595695887
title_length_no_space,0.005112104108121737
genre_코미디,0.004723337475224554
genre_범죄,0.004179702063460225
meta_open_quarter,0.004064302670019211
meta_season_summer,0.0036954578823733685
genre_스릴러,0.003663655813010091
genre_전쟁,0.003608020159875002
meta_top_cast_오달수,0.003607551599566959
meta_top_cast_유해진,0.003490426556792251
meta_season_spring,0.003486323988538683
title_word_count,0.003312192645911312
meta_season_winter,0.002283229964935999
meta_season_fall,0.0021406020756950597
genre_로맨스,0.0020353719917326875
meta_is_year_end,0.001891540596121016
genre_공포,0.0018068635708481902
title_has_emotion_genre_keyword,0.0016503140075021774
meta_is_winter_peak,0.0014223411459737718
genre_미스터리,0.001180007726833947
meta_top_cast_정진영,0.001132549986174735
genre_판타지,0.0011052216592201032
meta_top_cast_류승룡,0.000889596095127006
meta_top_cast_이병헌,0.0008362661121786047
meta_top_director_민규동,0.0006700407226375368
meta_top_cast_정인기,0.0006046169939492178
meta_top_cast_하정우,0.0006040397161028591
meta_top_cast_박성웅,0.00046672973789403476
meta_top_cast_정우성,0.00046298781705213227
genre_SF,0.0004391645688608694
meta_top_cast_배성우,0.00041264772909241403
meta_top_cast_정만식,0.0003150046818896822
meta_top_cast_김민재,0.0003077651392796962
meta_top_cast_이준혁,0.00029317365707315053
meta_top_cast_조우진,0.00029259982704442063
meta_top_cast_황정민,0.00028370394264119113
meta_top_cast_김윤석,0.00028252044995823134
meta_top_cast_김성균,0.00027219502773450684
meta_top_cast_이성민,0.00026919979971353543
meta_top_cast_이경영,0.0002690182742398602
meta_top_cast_송강호,0.00024711806168402285
meta_top_cast_조진웅,0.00022432950040465963
meta_top_cast_송영창,0.00020931626494033727
meta_top_cast_장영남,0.00020769094520928897
title_has_special_char,0.0002005843249308092
title_keyword_crime,0.00019315506672372274
