experiment,model,target,n_rows,n_train,n_test,n_features,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,true_negative,false_positive,false_negative,true_positive
metadata,logistic_regression,success_rank,654,523,131,122,0.3053435114503817,0.22272727272727275,0.2285263157894737,0.22272727272727275,0.2154217798006405,0.2285263157894737,0.22272727272727275,0.2154217798006405,0.3849417436721575,0.3053435114503817,0.3342088717140455,,,,,
metadata,decision_tree,success_rank,654,523,131,122,0.2900763358778626,0.26222943722943726,0.25792592592592595,0.26222943722943726,0.2145932456481273,0.25792592592592595,0.26222943722943726,0.2145932456481273,0.4317119027424371,0.2900763358778626,0.3175147173017944,,,,,
metadata,random_forest,success_rank,654,523,131,122,0.4961832061068702,0.30362554112554113,0.31666666666666665,0.30362554112554113,0.3077677653751464,0.31666666666666665,0.30362554112554113,0.3077677653751464,0.505089058524173,0.4961832061068702,0.4985770475639099,,,,,
metadata,dnn_mlp,success_rank,654,523,131,122,0.4351145038167939,0.24529220779220778,0.23277777777777775,0.24529220779220778,0.23801061007957564,0.23277777777777775,0.24529220779220778,0.23801061007957564,0.398303647158609,0.4351145038167939,0.4153603174924575,,,,,
metadata_title,logistic_regression,success_rank,654,523,131,139,0.31297709923664124,0.22510822510822512,0.22401847190037177,0.22510822510822512,0.2169898071588186,0.22401847190037177,0.22510822510822512,0.2169898071588186,0.3733589657018598,0.31297709923664124,0.33596646824095444,,,,,
metadata_title,decision_tree,success_rank,654,523,131,139,0.3282442748091603,0.28008658008658005,0.28338888888888886,0.28008658008658005,0.2366655348047538,0.28338888888888886,0.28008658008658005,0.2366655348047538,0.48189567430025443,0.3282442748091603,0.36347075519382055,,,,,
metadata_title,random_forest,success_rank,654,523,131,139,0.48091603053435117,0.26969696969696966,0.2616809116809117,0.26969696969696966,0.26492374727668844,0.2616809116809117,0.26969696969696966,0.26492374727668844,0.47706661447119464,0.48091603053435117,0.47786425851086833,,,,,
metadata_title,dnn_mlp,success_rank,654,523,131,139,0.4351145038167939,0.2560064935064935,0.27166666666666667,0.2560064935064935,0.2563595228301111,0.27166666666666667,0.2560064935064935,0.2563595228301111,0.4066157760814249,0.4351145038167939,0.41298871761377376,,,,,
metadata_poster,logistic_regression,success_rank,654,523,131,133,0.31297709923664124,0.21228354978354974,0.23189610389610388,0.21228354978354974,0.2114411762378102,0.23189610389610388,0.21228354978354974,0.2114411762378102,0.40987508674531575,0.31297709923664124,0.34737998394412,,,,,
metadata_poster,decision_tree,success_rank,654,523,131,133,0.2595419847328244,0.24945887445887446,0.2548319327731092,0.24945887445887446,0.20397691197691198,0.2548319327731092,0.24945887445887446,0.20397691197691198,0.42660422947805077,0.2595419847328244,0.288059218135554,,,,,
metadata_poster,random_forest,success_rank,654,523,131,133,0.4961832061068702,0.290530303030303,0.3157158630842841,0.290530303030303,0.29385040885040886,0.3157158630842841,0.290530303030303,0.29385040885040886,0.4994591587600829,0.4961832061068702,0.49222908841229457,,,,,
metadata_poster,dnn_mlp,success_rank,654,523,131,133,0.4732824427480916,0.2637445887445887,0.24316379546076022,0.2637445887445887,0.25083397602918184,0.24316379546076022,0.2637445887445887,0.25083397602918184,0.40851227490100556,0.4732824427480916,0.43721130200605435,,,,,
all,logistic_regression,success_rank,654,523,131,150,0.32061068702290074,0.21796536796536797,0.23030732860520095,0.21796536796536797,0.21463349819148148,0.23030732860520095,0.21796536796536797,0.21463349819148148,0.40276830346669557,0.32061068702290074,0.34953999561605426,,,,,
all,decision_tree,success_rank,654,523,131,150,0.29770992366412213,0.2673160173160173,0.2833728363140128,0.2673160173160173,0.22824932249322494,0.2833728363140128,0.2673160173160173,0.22824932249322494,0.483366805324596,0.29770992366412213,0.3387178054986657,,,,,
all,random_forest,success_rank,654,523,131,150,0.4961832061068702,0.28874458874458875,0.3129312063808574,0.28874458874458875,0.29223884810841333,0.3129312063808574,0.28874458874458875,0.29223884810841333,0.4874506252235659,0.4961832061068702,0.4876080993903762,,,,,
all,dnn_mlp,success_rank,654,523,131,150,0.48854961832061067,0.2985930735930736,0.306800182759671,0.2985930735930736,0.2985094115726833,0.306800182759671,0.2985930735930736,0.2985094115726833,0.4515381691015246,0.48854961832061067,0.4665012518916945,,,,,
